Timestamp,Action,Price,CA
2025-02-12 03:25:54,BUY,0.00014,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:26:52,SELL,0.00013,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:26:58,BUY,0.00013,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:27:18,BUY,0.00121,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:27:39,SELL,0.00014,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:28:24,SELL,0.00013,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:28:32,BUY,0.00014,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:28:40,BUY,0,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:28:54,SELL,0.00015,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:28:59,BUY,0.00137,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:29:18,BUY,0,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:29:31,SELL,0.00119,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:30:56,BUY,0.00782,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:31:21,BUY,0.00094,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:31:55,BUY,0.00098,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:32:30,BUY,0.00059,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:32:32,SELL,0.00059,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:32:47,SELL,0.00069,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:32:48,BUY,0.00069,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:32:52,SELL,0.00016,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:32:58,BUY,0.00016,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:33:25,SELL,0.00764,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:34:15,SELL,0.00575,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:34:57,BUY,0.00513,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:35:21,SELL,0.00412,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:35:54,BUY,0.00466,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:37:07,SELL,0.00013,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:38:04,SELL,0.00443,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:38:05,BUY,0.00443,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
